,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
43,"Portronics Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds Bluetooth Headset  (Black, True Wireless)","₹3,999","₹1,999",Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,Black,True Wireless,No,"Smart TWS Earbuds 2N, Charging Cable 1N, User Manual 1N",Bluetooth,Earbud,"USB Charging Cable, User Manual"
44,"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)","₹3,490","₹1,199",Rockerz 510 / Rockerz 518,Viper Green,On the Ear,Yes,"Rockerz 510, Charging Cable, User Manual, Warranty Card",Bluetooth,,
45,"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Aqua Blue, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Aqua Blue,On the Ear,No,"1 Headphone, Type-C Charging Cable, Aux Cable, User Manual, Warranty Card",Bluetooth,Over the Head,
46,"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)","₹2,490",₹999,Rockerz 235 Pro,Ash Grey,In the Ear,Yes,"1 Neckband, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
47,"PTron Boom One Wired Headset  (Blue, In the Ear)",₹800,₹390,Boom One,Blue,In the Ear,Yes,1 headphone,Wired,,
48,"Portronics Harmonics Twins 24 Bluetooth Headset  (White, True Wireless)","₹1,999","₹1,139",Harmonics Twins 24,White,True Wireless,Yes,1 Pair,Bluetooth,Earbud,Charging Case
49,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)","₹4,999","₹1,199",ProBass FCharge,Black,In the Ear,Yes,"1 Neckband, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
50,"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Hazel Beige, On the Ear)","₹3,990","₹1,999",Rockerz 450 Pro with Upto 70 Hours Playback,Hazel Beige,On the Ear,No,"1 Headphone, Type-C Charging Cable, Aux Cable, User Manual, Warranty Card",Bluetooth,Over the Head,
51,"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)","₹4,999","₹1,499","Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
52,"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)","₹2,699",₹983,InTunes Ultima,"Black, Blue",In the Ear,Yes,"1*Headphone, 1*Charging Cable, 1*User Manual, Extra Eartips",Bluetooth,Behind the Neck,
53,"Skullcandy Indy ANC Bluetooth Headset  (Chill Grey, True Wireless)","₹19,999","₹9,699",Indy ANC,Chill Grey,True Wireless,Yes,"Earbuds, USB Charging Cable, User Manual Guide",Bluetooth,Earbud,
54,"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)","₹13,999","₹6,599","Push Active True Wireless Earbuds, Voice Control",Blue/Grey,True Wireless,No,"Push Active True Wireless Earbuds Charging Case Ear Gels (S, M, L) USB-C Charging Cable User Guide 1-Year Limited Warranty",Bluetooth,Earbud,
55,"Portronics Harmonics Z1 Wireless Stereo Bluetooth Headset  (Green, In the Ear)","₹1,999",₹999,Harmonics Z1 Wireless Stereo,Green,In the Ear,Yes,1 Headphone,Bluetooth,Behind the Neck,
56,"Skullcandy Cassette Wireless Bluetooth Headset  (Chill Gray, On the Ear)","₹3,999","₹2,699",Cassette Wireless,Chill Gray,On the Ear,Yes,"Headphone, USB Charging Cable, User Manual",Bluetooth,Over the Head,
57,"Skullcandy Hesh Evo Bluetooth Headset  (Black, On the Ear)","₹14,999","₹8,299",s6hvw-n740,Black,On the Ear,Yes,"Hesh Evo Wireless Headphone, USB-C Charging Cable, User Manual, Backup AUX Cable",Bluetooth,Over the Head,
58,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Crimson Cream, True Wireless)","₹2,990","₹1,299",Airdopes 131,Crimson Cream,True Wireless,No,"1 Pair of Earbuds, Additional Buds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
59,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)","₹4,499","₹1,799",Maverick,Black,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
60,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Space Blue, True Wireless)","₹3,999","₹1,599","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Space Blue,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
61,"Boult Audio Ranger Bluetooth Gaming Headset  (Black, On the Ear)","₹7,999","₹1,799",Ranger,Black,On the Ear,Yes,"1 Headphone, Charging Cable, Aux Cable, User Manual",Bluetooth,Over the Head,
62,"PTron Bassbuds Rush Bluetooth Gaming Headset  (Black, True Wireless)","₹3,199","₹1,599",Bassbuds Rush,Black,True Wireless,Yes,1,Bluetooth,Earbud,USB Charging Cable
63,"ZEBRONICS ZEB-BRO Wired Headset  (Red, In the Ear)",₹399,₹325,ZEB-BRO,Red,In the Ear,Yes,1 X WIRED HEADPHONE,Wired,,
64,"ZEBRONICS ZEB- PHOENIX Wired Gaming Headset  (Black, On the Ear)","₹1,999","₹1,275",ZEB- PHOENIX,Black,On the Ear,Yes,1 Unit Headphone,Wired,Foldable Over the Head,
65,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Graphite Black, True Wireless)","₹2,999","₹1,299",Airbass Z35,Graphite Black,True Wireless,No,"1 Pair Earbuds, Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
66,"Skullcandy Ink'd Plus Wired Headset  (Blue, In the Ear)","₹2,499","₹1,092",S2IMY-M686,Blue,In the Ear,Yes,"User Guide, Earphone",Wired,,
67,"PTron Bassbuds B11 with 13mm Driver, Stereo Calls, 28Hrs Playback Bluetooth Headset  (Black, In the Ear)","₹2,599",₹999,Bassbuds B11,Black,In the Ear,Yes,"1 Pair Earbuds, Charging Case, Charging Cable, User Guide Card",Bluetooth,Earbud,
68,"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Space Blue, True Wireless)","₹3,999","₹1,599",Buds�VS204,Space Blue,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
69,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)","₹3,999","₹1,499","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
70,"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)","₹3,999",₹999,Basspods P251+,White,True Wireless,Yes,"Basspods P11 Earbuds, Charging Case, Additional Earbuds, Charging Cable, User Guide Card",Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual"
71,"ZEBRONICS ZEB-BRO Wired Headset  (Blue, In the Ear)",₹399,₹308,ZEB-BRO,Blue,In the Ear,Yes,1 X WIRED HEADPHONE,Wired,,
72,"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (White, True Wireless)","₹2,999","₹1,299",Phantom 550,White,True Wireless,No,"1 Pair of Earbuds, Charging Case, Cable, Extra Ear Cushions, User Manual",Bluetooth,Earbud,
73,"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)","₹2,499","₹1,199",InTunes Beats,Black,In the Ear,Yes,1 Unit,Bluetooth,Magnetized Buds,
74,"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Snow White, True Wireless)","₹7,999","₹2,699","Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Snow White,True Wireless,No,"1 Pair of Earbud, Additional Pair of Eartips, Charging Case, Charging Cable, User Manual",Bluetooth,Earbud,
75,"Noise Flair Neckband with 35 Hours Playtime, ENC with Dual Mic, 10mm Driver, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)","₹3,999","₹1,799",Flair Touch Neckband,Carbon Black,In the Ear,No,"1x Bluetooth Neckband 1x Charging Cable, 2x Extra Eartips, 1x Wintips, 1x User Manual, 1x Warranty Registration Card",Bluetooth,Magnetized Buds,
76,"Wings Phantom 110 Neckband, LED , 20 hrs Playtime, 50ms Low Latency Headphones Bluetooth Gaming Headset  (Black, In the Ear)","₹1,999",₹899,WL-PHANTOM110,Black,In the Ear,Yes,"1 Neckband, Cable, Ear Cushions, User Manual",Bluetooth,Behind the Neck,
77,"Boult Audio Thunder Bluetooth Headset  (Black, On the Ear)","₹3,999","₹1,399",Thunder,Black,On the Ear,Yes,"1 Headphone, Charging Cable, Aux Cable, User Manual",Bluetooth,Over the Head,
78,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,499",₹799,ProBass EQCharge,Black,In the Ear,Yes,"1 Neckband, Extra Pair of Eartips, Charging Cable, User Manual",Bluetooth,Behind the Neck,
79,"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Cyan Blue, In the Ear)","₹2,799","₹1,099",Nerve Pro Neckband,Cyan Blue,In the Ear,Yes,"1 Neckband, Charging Cable, User Manual 2 Extra Eartips",Bluetooth,Behind the Neck,
80,"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)","₹2,999","₹1,099",Buds VS304,Pearl White,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
81,"Wings Phantom 860 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, True Wireless)","₹2,999","₹1,499",WL-PHANTOM860-BLK,Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
82,"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Playtime, IPX7 Waterproof Bluetooth Headset  (Black, True Wireless)","₹8,999","₹1,499",Air Bass Power Buds,Black,True Wireless,Yes,"1 Pair of Earbuds, Charging Case, Extra Pair of Buds, Micro USB Charging Cable, User Manual",Bluetooth,Earbud,
83,"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pale Blue, True Wireless)","₹2,999",₹999,Air Buds Mini Truly Wireless,Pale Blue,True Wireless,Yes,"1N Bluetooth Headphone, 1N Charging Case, 1N Type C Charging Cable, 1N User Manual, 1N Warranty Registration Card, 1N Reset Card",Bluetooth,Earbud,
84,"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)","₹3,199","₹1,299",Bassbuds Epic,Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
85,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Blue, True Wireless)","₹7,499","₹2,699",s2dmw-p751,Blue,True Wireless,Yes,1 Headphone and kit,Bluetooth,Earbud,Charging Case
86,"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)","₹3,999","₹1,599",Buds�VS204,Snow White,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
87,"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)","₹7,999","₹4,799",Sesh Evo,Bleached Blue,True Wireless,Yes,1 Earbuds,Bluetooth,Earbud,
88,"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)","₹3,199",₹899,Basspods P481,Black,In the Ear,Yes,"1 Pair Earbuds, Charging Case, Charging Cable, User Guide Card, 2 Pair Extra Eartips",Bluetooth,Earbud,
89,"ZEBRONICS ZEB-Buds-C2 Wired Headset  (Black, In the Ear)",₹699,₹599,ZEB-Buds-C2,Black,In the Ear,Yes,1 unit Earphone,Wired,Earbud,
90,"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)","₹7,999","₹2,699",S2DBW-P751,"Blue, Grey",True Wireless,No,"1 Pair Earbuds, Charging Case, USB Charging Cable, User Manual Guide",Bluetooth,Earbud,
91,"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)","₹3,199",₹899,Basspods P481,Black,In the Ear,Yes,"1 Pair Earbuds, Charging Case, Charging Cable, User Guide Card, 2 Pair Extra Eartips",Bluetooth,Earbud,
92,"PTron Basspods 281 In-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, Touch Control, IPX4 Sweat/Water-Resistant, Stereo Calling & Passive Noise Canceling Earbuds (Black/Grey) Bluetooth Headset  (Black, Grey, True Wireless)","₹2,699","₹1,099",Basspods 281,"Black, Grey",True Wireless,Yes,1 pair headphone with box,Bluetooth,Earbud,
93,"PTron Basspods P11, 24Hrs Playback, 10mm Driver, MovieMode, HD Mic Bluetooth Headset  (Black, True Wireless)","₹2,999",₹799,Basspods P11,Black,True Wireless,Yes,"Basspods P11 Earbuds, Charging Case, Additional Earbuds, Charging Cable, User Guide Card",Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual"
94,"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)","₹1,399",₹939,Zeb-Thunder(Blue),Blue,On the Ear,No,1,Bluetooth,,
95,"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)","₹2,499",₹999,Zeb-Duke 1,Red,On the Ear,Yes,"1 Headphone, Charging Cable, User Manual,1 unit - AUX Cable",Bluetooth,Foldable Over the Head,
96,"Skullcandy Sesh S2TDW-M003 True Wireless Bluetooth Headset  (Black, True Wireless)","₹5,999","₹4,999",Sesh S2TDW-M003,Black,True Wireless,Yes,"1 Earbud, Charging Case, User Guide",Bluetooth,,
97,"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)","₹2,499",₹899,Nerve,Stone Blue,In the Ear,Yes,"1x Bluetooth Neckband, 1x Charging Cable, 2x Extra Eartips, 1x User Manual",Bluetooth,Behind the Neck,
98,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Mint Cascade, In the Ear)","₹2,990","₹1,299",Airdopes 131 Pro,Mint Cascade,In the Ear,No,"1 Pair of Earbuds with Charging Case, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
99,"ZEBRONICS Zeb-Orion Wired Gaming Headset  (Black, On the Ear)","₹4,999","₹1,899",Orion,Black,On the Ear,No,1 Headphone,Wired,,
100,"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)","₹3,999","₹1,799",Buds Combat,Covert white,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
101,"ZEBRONICS ZEB- EARPHONE YOGA 2 Bluetooth Headset  (Black, In the Ear)","₹1,699","₹1,395",ZEB- EARPHONE YOGA 2,Black,In the Ear,Yes,1,Bluetooth,Behind the Neck,
102,"Skullcandy Indy ANC Bluetooth Headset  (Black, True Wireless)","₹19,999","₹6,499",Indy ANC,Black,True Wireless,No,"1 pair earbuds with charging caseCable, User Manual Guide",Bluetooth,Earbud,
103,"Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs Playtime, Extra Deep Bass Bluetooth Headset  (Black, In the Ear)","₹3,999",₹899,ProBass Escape,Black,In the Ear,Yes,"1 Escape Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,Behind the Neck,
104,"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)","₹19,999","₹11,194",Hesh ANC,Black,On the Ear,Yes,"Hesh ANC Wireless Headphone, USB-C Charging Cable, Backup AUX Cable, User Guide",Bluetooth,Over the Head,
105,"Boult Audio Omega with 30dB ANC, Quad Mic ENC, 45ms Latency Gaming Mode, 32H Playtime, 5.2 Bluetooth Headset  (Black, True Wireless)","₹9,999","₹1,999",Airbass Omega,Black,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
106,"Portronics POR-1025 Conch Gama Wired Headset  (Black, In the Ear)",₹599,₹349,POR-1025 Conch Gama,Black,In the Ear,No,1N Earphone,Wired,,Warranty Card
107,"Wings Phantom Pro Godlike Gaming TWS Earbuds Bluetooth Gaming Headset  (Yellow, True Wireless)","₹4,999","₹1,299",Phantom Pro Godlike Gaming TWS Earbuds,Yellow,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, Cable, Ear Cushions, User Manual",Bluetooth,Earbud,
108,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)","₹4,499","₹1,799",Maverick,Black,True Wireless,Yes,"1 Pair of Earbud with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Earbud,
109,"ZEBRONICS Zeb-Sound Bomb 10 Bluetooth Headset  (Black, True Wireless)","₹4,299","₹2,145",Zeb-Sound Bomb 10,Black,True Wireless,Yes,Earbuds 2 U Charging case 1 U Eartips 4 U Charging cable 1 U QR code guide 1 U,Bluetooth,Earbud,"Charging Case, USB Charging Cable, User Manual"
110,"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)","₹4,599","₹1,299",Bassbuds Xtreme,Blue & Black,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide QR Card and 2 Pair of Extra Eartips",Bluetooth,Earbud,
111,"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Blue, True Wireless)","₹2,999","₹1,299",Phantom 550,Blue,True Wireless,No,"1 Pair of Earbuds, Charging Case, Cable, Extra Ear Cushions, User Manual",Bluetooth,Earbud,
112,"ZEBRONICS Zeb-Bang Pro Bluetooth Headset  (Orange, On the Ear)","₹2,499","₹1,199",Zeb-Bang Pro,Orange,On the Ear,No,"Headphone: 1unit, Charging cable : 1 unit, User manual : 1 unit, AUX Cable : 1 unit",Bluetooth,Foldable Over the Head,
113,"Skullcandy Jib Headset with mic  (Black, In the Ear)",₹999,₹799,S2DUYK-343,Black,In the Ear,Yes,1 Headset,Wired,Canalphone,
114,"Wings Phantom Gaming TWS with 50ms Low Latency Bluetooth 5.3 Headset Bluetooth Gaming Headset  (White, True Wireless)","₹4,999","₹1,199",Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,White,True Wireless,Yes,"1 Charging Case, 2 Earbuds, 3 Sets of Ear Tips, User Manual, Charging Type-C Cable",Bluetooth,Earbud,
115,"ZEBRONICS ZEB-BRO Wired Headset  (Green, In the Ear)",₹399,₹308,ZEB-BRO,Green,In the Ear,Yes,1 X WIRED HEADPHONE,Wired,Canalphone,
116,"boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hours Playback Bluetooth Headset  (Active Black, In the Ear)","₹3,499","₹1,399",Rockerz 255F Pro / Rockerz 255 Pro,Active Black,In the Ear,Yes,"1 Headphone, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
117,"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Charcoal Black, True Wireless)","₹7,999","₹2,999","Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Charcoal Black,True Wireless,No,"1 Pair of Earbud, Additional Pair of Eartips, Charging Case, Charging Cable, User Manual",Bluetooth,Earbud,
118,"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)","₹2,799","₹1,049",Zeb-Iron Head,Black,On the Ear,No,"1 Headphone, User Manual",Wired,Over the Head,
119,"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)","₹4,999",₹999,ProBassXcharge Black,Black,In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,Behind the Neck,
120,"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)","₹7,999","₹4,799",Sesh Evo,Bleached Blue,True Wireless,Yes,1 Earbuds,Bluetooth,Earbud,
