,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
162,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",BoAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
163,"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation with Mic (Black Symphony)","1,799",boAt,Rockerz 550,Black Symphony,Over Ear,Bluetooth 5.0,,,,,,,,,,,
164,ZEBRONICS Zeb-Bang Wireless Bluetooth Over The Ear Headphone with Mic and and Playback time 16 hrs (Blue),699,ZEBRONICS,Zeb-Bang,Blue,Over Ear,"Wireless, Bluetooth 5.0",,,,,,,,,,,
165,"ZEBRONICS Zeb-Thunder Wireless Bluetooth Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Red)",599,ZEBRONICS,ZEB-Thunder,Red,Over Ear,Bluetooth 4.2,,,,,,,,,,,
166,"UBON Bluetooth Headphone with Mic, Rapstar BT-5720, On-Ear Wireless Headset with Up to 10 Hours Playtime, Support SD Card, Aux Port, 40mm Driver, Hi-Fi Music & Deep Bass (Black)","1,298",UBON,Rapstar,Black,On Ear,Wireless,,,,,,,,,,,
167,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
168,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Magico Black)","1,799",OnePlus,OnePlus Bullets Wireless Z2,Black,,,,,,,,In Ear,,"Wireless, Bluetooth v5",,,
169,Jabra Enterprise Store Evolve2 40 UC Wired On Ear Headphone with Mic (Black),"11,950",Jabra,Evolve2 40,Black,On Ear,Wired,,,,,,,,,,,
170,"Sony WH-1000XM5 Wireless Industry Leading Active Noise Cancelling Headphones, 8 Mics for Clear Calling, 30Hr Battery, 3 Min Quick Charge = 3 Hours Playback, Multi Point Connectivity, Alexa - Black","29,990",Sony,WH1000XM5/BMIN,Black,Over Ear,Wireless,,,,,,,,,,,
171,"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation (Red)","1,999",boAt,Rockerz 550,Red,Over Ear,Bluetooth 5.0,,,,,,,,,,,
172,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",599,CableCreation,,"Gold, White, Black",,Auxiliary,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,
173,"ZEBRONICS Zeb-Thunder Wireless Bluetooth Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Red)",599,ZEBRONICS,ZEB-Thunder,Red,Over Ear,Bluetooth 4.2,,,,,,,,,,,
174,"Zebronics Zeb-Bang Foldable Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Call Function, 16Hrs* Playback time & Supports Voice Assistant (Red)",699,ZEBRONICS,Zeb-Bang,Red,Over Ear,Wireless,,,,,,,,,,,
175,"Mivi ThunderBeats 2 Upgraded Audio Bluetooth Wireless in Ear Earphones with mic, Superior Sound, Powerful Bass, 14 Hours Playtime, Comfortable Fit, Bluetooth 5.0 (Blue)",949,Mivi,ThunderBeats 2,Blue,In Ear,Wireless,,,,,,,,,,,
176,Jabra Evolve 20 Wired On Ear Headphones with mic Black,"6,300",Jabra,,,On Ear,Wired,Bluetooth,,,,,,,,Ear Cushions,,
