,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
0,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
1,"Jabra Engage 65 Wireless Headset, Mono – Telephone Headset with Industry-Leading Wireless Performance, Advanced Noise-Cancelling Microphone, Call Center Headset with All Day Battery Life","₹77,914","57,914",Jabra,Engage 65 Mono,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
2,"Jabra Elite 3 in Ear Bluetooth Truly Wireless in Ear Earbuds, Noise Isolating with mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode - Dark Grey","₹6,999","4,499",Jabra,Elite 3,Dark Grey,,,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,
3,"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver, Built in Microphone and Type C(Blue)","₹3,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (Blue),Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
4,"(Renewed) boAt Airdopes 402 Bluetooth Truly Wireless In Ear Earbuds with Bluetooth V5.0, Advanced Touch Controls, Instant Voice Assistant, Up to 16H Total Playtime and IPX4 Water Resistance with mic (Active Black)",NaN,,boAt,Boat Airdopes 408,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
5,"Zebronics Zeb-Lark Metallic Wireless in Ear Neckband Earphone with BT 5.0, Rapid Fast Charging (Metallic Red)","₹1,449",799,ZEBRONICS,ZEB-LARK,Metallic Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
6,"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones (Gunmetal Black) & Wave Call Smart Watch, Smart Talk (Active Black) & Xtend Talk with Advanced Dedicated Bluetooth Calling Chip,(Teal Green)",NaN,,boAt,,Gunmetal Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
7,"Skullcandy Dime True Wireless in-Ear Bluetooth Earbuds Compatible with iPhone and Android/Charging Case and Microphone/Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Dark Green","₹7,499","2,688",Skullcandy,Dime,Blue Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
8,"Noise Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental Cancellation with Dual mic, Fast Charging (Stone Blue)","₹3,999","1,799",Noise,Flair,Stone Blue,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
9,Meyaar Beex Series Earphones with Super Heavy Bass 90%-Noise Isolating Earbuds with Microphone and Game Experience for All Headphone with Carry Case (Black),₹999,239,Meyaar,Meyaar-Made-in-India-with-Case,With Carry Case,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
10,Jabra 2400 II Duo USB MS BT Wireless In Ear Bluetooth Headset with Mic - Black,"₹22,974","8,500",Jabra,,Black,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
11,"Portronics Conch 70 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Pink)",₹599,349,Portronics,Conch 70,Pink,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
12,"Meyaar Beex Abhinandan Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet (Metal Black)",₹999,119,Meyaar,Abhinandan,Metal Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
13,(Renewed) Portronics Harmonics Twins S2 Wireless Sports Earbuds Bluetooth 5.0 I Voice Assistant I 20 Hrs Playtime with Case I Type C Charging (Green),NaN,,Portronics,Harmonics Twins S2,Green,,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
14,"ZEBRONICS Zeb-Buds C2 in Ear Type C Wired Earphones with Mic, Braided 1.2 Metre Cable, Metallic Design, 10mm Drivers, in Line Mic & Volume Controller (Red)",₹699,399,ZEBRONICS,Zeb Buds C2 (Red),Red,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
15,"Skullcandy Jib True Wireless Earbuds with 22 Hours Total Battery, IPX4 Sweat and Water Resistant, Use Either Bud Solo, Dual Microphones, Noise-Isolating Fit,Call, Track and Volume Control (Orange Black)","₹8,999","3,299",Skullcandy,Jib TWS,Orange Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
16,"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (Black)","₹3,299",699,PTron,Bassbuds,Black,In Ear,Bluetooth 5.1,,,,,,,,,,,,,,,,,,,,,
17,Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown),"₹1,299",549,Boult Audio,BassBuds,Brown,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
18,"ZEBRONICS Zeb-Bang Pro Bluetooth Wireless On Ear Headphones with Mic V5.0, 30H Backup, Foldable, Call Function, Voice Assistant, Built-in Rechargeable Battery, Type C, 40Mm Driver and Aux (Orange)","₹2,499","1,199",ZEBRONICS,Zeb- Bang Pro (Orange),Orange,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
19,"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode & Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Black)",NaN,,boAt,,Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
20,"Jabra Evolve2 75 PC Wireless Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Adjustable Advanced Active Noise Cancelling, USB-C Bluetooth Adapter and UC Compatibility - Black","₹48,212","43,500",Jabra,Evolve2 75,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
21,"ZEBRONICS Zeb-Sound Bomb N1 True Wireless in Ear Earbuds with Mic ENC, Gaming Mode (up to 50ms), up to 18H Playback, BT V5.2, Fidget Case, Voice Assistant, Splash Proof, Type C (Midnight Black)","₹4,199",999,ZEBRONICS,ZEB-SOUND BOMB N1 (MIDNIGHT BLACK),Midnight black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
22,"(Renewed) boAt BassHeads 950v2 Wired Over Ear Headphones with 40mm Audio Drivers, Soft Ear-Cushion, Lightweight Build, 3.5mm Jack and with mic(Warm Grey)",NaN,NaN,boAt,Bassheads 950v2,Warm Grey,Over Ear,Wired,,,,,,,,,,,,,,,,,,,,,
23,"Zebronics Zeb Yoga 101 (Red) Wireless Neckband Earphone with 10mm Neodymium Driver, Dual Pairing, Magnetic Earpiece and Voice Assistant","₹2,499","1,297",ZEBRONICS,Zeb Yoga 101,RED,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
24,"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)","₹3,298",699,PTron,Bassbuds,Pearl White,In Ear,Bluetooth 5.1,,,,,,,,,,,,,,,,,,,,,
25,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",₹399,149,ZEBRONICS,ZEB-BRO(Green),Green,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
26,"Jabra Elite 85t True Wireless Bluetooth Earbuds, Copper Black – Advanced Noise-Cancelling Earbuds with Charging Case for Calls & Music – Wireless Earbuds with Superior Sound & Premium Comfort","₹61,365","39,557",Jabra,Elite 85t,Copper Black,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
27,"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12mm Drivers, IPX5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Raging Red)","₹2,490","1,099",boAt,Rockerz,Raging Red,In Ear,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,,,
28,"(Renewed) Zebronics Zeb-Symphony Wireless Neckband Earphone with BT v5.2, Type C Charging, Voice Assistant Support, 13H Backup, Splash Proof, Magnetic earpiece, Calling and Built-in Rechargeable Battery (Blue)",NaN,,ZEBRONICS,Zeb- Symphony( Blue),Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
29,boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),₹999,449,boAt,Bassheads 105,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
30,boAt (Renewed) Rockerz 510 Wireless Bluetooth On Ear Headphone with Mic (Black),NaN,,boAt,Rockerz 510,Black,On Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
31,Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),₹999,349,Boult Audio,Bassbuds,Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
32,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
33,"pTron Bassbuds Wave ENC Bluetooth 5.3 Wireless in Ear Earbuds, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Snug-fit, Smooth Touch Control & Type-C Charging (Black)","₹4,599","1,099",PTron,Bassbuds,Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
34,Jabra Evolve 40 MS Wired Bluetooth On Ear Headphone with Mic (Black),"₹15,066","10,450",Jabra,Jabra EVOLVE 40 MS Stereo wired USB headset,Black,On Ear,USB,,,,,,,,,,,,,,,,,,,,,
35,"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (White)","₹6,999","1,799",Boult Audio,Bassbuds,White,In Ear,Bluetooth 5.1,,,,,,,,,,,,,,,,,,,,,
36,(Renewed) Skullcandy Push Active True Wireless Earbuds with 44 Hours Total Battery & IP55 Sweat and Water Resistant (Light Gray Blue),NaN,NaN,Skullcandy,Push Active,Orange Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
37,"Portronics Conch 80 in Ear Wired Earphones with Mic, 3.5mm Jack, 10mm Dynamic Drivers, Extra Bass, Magnetic Latch, Nylon Braided Wire(Black)",₹599,399,Portronics,Conch 80,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
38,(Renewed) boAt Airdopes 441 Pro Bluetooth Truly Wireless In Ear Earbuds with Mic (Raging Red),NaN,NaN,boAt,,Raging Red,In Ear,Wireless,,,truly wireless,,,,,,,,,,,,,,,,,,
39,"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",₹899,229,PTron,Pride Lite,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
40,ZEBRONICS Zeb-Sound Bomb 8 Light Weight Earbuds with 12Hours* of Playback time.(Black),"₹3,599","1,099",ZEBRONICS,Zeb-Sound Bomb 8(Black),Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
41,"Meyaar SPN UpBeat-1 Earbuds, Wired Headphones with Microphone and Ear Bud Tip Replacements, Universal 3.5 mm Plug for Most Smartphones, Tablets, Noise Isolating, Memory Foam Pads, Deep Bass (White)",₹349,129,Meyaar,Upbeat-1,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
42,"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",₹899,229,PTron,Pride Lite,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
43,"pTron Bassbuds Wave ENC Bluetooth 5.3 Wireless in-Ear TWS Earbuds with Mic, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Smooth Touch Control & Type-C Fast Charging (Grey)","₹4,599","1,099",PTron,Bassbuds,Rich Grey,,,In Ear,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,
44,(Renewed) Skullcandy Sesh Evo Truly Wireless Bluetooth In Ear Earbuds with Mic (Bleached Blue),NaN,NaN,Skullcandy,,Blue,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
45,Meyaar M-11 High Bass Wired in-Ear Earphone with Mic ((Pack of 3) Pink + Black + Grey),₹999,379,Meyaar,M-11_(Pink + Black + Grey),(Pack of 3) Pink + Black + Grey,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
46,"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)","₹3,298",699,PTron,Bassbuds,Pearl White,In Ear,Bluetooth 5.1,,,,,,,,,,,,,,,,,,,,,
47,"ZEBRONICS Jumbo LITE with 70 Hours Backup, Bluetooth v5.2 Wireless Neckband, Fast Charging, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof, and Type C (Navy)","₹2,999",999,ZEBRONICS,Zeb Yoga 7 (Jumbo Lite),Navy,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
48,(Renewed) boAT 103 Bluetooth Wireless Active Black In Ear Earphone with mic (Black),NaN,,boAt,Boat 103-cr,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
49,(Renewed) Boat Super Bass Rockerz 400 Bluetooth On-Ear Headphones with Mic (Black/Blue),NaN,NaN,boAt,,Multicolor,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
50,"boAt Airdopes 413ANC True Wireless in Ear Earbuds (Carbon Black) & Xtend Smartwatch with Alexa Built-in, 1.69” HD Display(Charcoal Black) & Xtend/Xtend RTL Smartwatch with Alexa Built-in(Sandy Cream)",NaN,,boAt,,Carbon Black,In Ear,Wireless,,,Wireless,,,,,,,,,,,,,,,,,,
51,"pTron Basspods 992 Active Noise Cancelling (ANC) Bluetooth 5.0 Wireless in Ear Earbuds with mic, Deep Bass, Low Latency, Ergonomic Touch Control Voice Assistance & IPX4 Water-Resistant (White)","₹4,599",989,PTron,Basspods 992,White,,,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,
52,(Renewed) ZEBRONICS Zeb-Symphony Bluetooth Wireless In Ear Earphone with Mic with Voice Assistant (Black),NaN,NaN,ZEBRONICS,,black,In Ear,Bluetooth,,,Bluetooth,,,,,,,,,,,,,,,,,,
53,"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)","₹4,999","1,499",Boult Audio,AirBass,Z40 White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
54,"Boult Audio AirBass PowerBuds with 120H Total Playtime, Inbuilt Powerbank, IPX7 Fully Waterproof, Type-C Fast Charging, Low Latency Gaming, Pro Calling Mic Airbass True Wireless in Ear Earbuds (Blue)","₹8,999","1,499",Boult Audio,AirBass,Blue,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
55,"(Renewed) boAt Rockerz 255 Pro+ Wireless In Ear Earphones with 40 Hours Battery, ASAP Charge, IPX7, Bluetooth Version 5.0, 10mm Drivers and Voice Assistant with mic (Active Black)",NaN,NaN,boAt,Rockerz 255 Pro+,Black; Active Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
56,"Boult Audio Omega with 30dB ANC+ENC, 32H Playtime, 45ms Xtreme Latency Mode, Quad Mic ENC, Type-C Fast Charging, Active Noise Cancellation, TWS BT Gaming Airbass True Wireless in Ear Earbuds (White)","₹9,999","1,999",Boult Audio,AirBass,Omega White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
57,"boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5 with Mic (Active Black) & r Headphones",NaN,999,boAt,,Active Black,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
58,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",NaN,599,CableCreation,,"Gold, White, Black",,Auxiliary,,,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,,,,,,,,,
59,"pTron Bassbuds Sports V2 Bluetooth 5.3 Wireless Over Ear Headphone with Mic, Earhooks, 48Hrs Playtime, Snug-fit Design, ENC TWS Earbuds, Immersive Sound, Movie/Music Mode & Type-C Charging (Black)","₹3,199","1,099",PTron,Bassbuds Sports,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
60,"ZEBRONICS Zeb-Symphony Bluetooth Wireless in Ear Earphones with Mic V5.2 Type C Charging, Voice Assistant Support, Splash Proof Magnetic Earpiece Calling Built-in Rechargeable Battery (Red)","₹1,299",699,ZEBRONICS,Zeb-Symphony (Red),Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
61,"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",₹749.17,229,PTron,Pride Lite,Blue,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
62,"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wirelss in Ear Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Black)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (BLACK),Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
63,"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired,,,,,,,,,,,,,,,,,,,,,
64,Jabra EVOLVE 65 UC Duo Wireless Bluetooth On Ear Headphone with Mic (Black),"₹27,621","23,300",Jabra,,Black,On Ear,Wireless,,,"Bluetooth, NFC",,,,,,,,,,,,,,,,,,
65,"ZEBRONICS Yoga N2 RGB Neckband with 30H Playtime, ENC Mic, Upto 50ms Gaming Mode, Powerful Bass, Voice Asst, IPX4, Dual Pairing, Type C Port, Bluetooth v5.2 Wireless in Ear Earphones with Mic(Black)","₹3,999",899,ZEBRONICS,ZEB-YOGA N2 (Black),Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
66,"PTron Boom Ultima V2 Dual Driver, in Ear Gaming Wired Earphones with Mic, Volume Control, Passive Noise Cancelling Boom 3 with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)","₹1,583",399,PTron,Boom Ultima V2,Black,,,In Ear,Wired,,,,,,,,,,,,,,,,,,,
67,"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","₹3,195","2,470",Logitech,l1,Black,Over Ear,Wired,,,,,,,,,,,,,,,,,,,,,
68,"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (White)","₹4,299",999,ZEBRONICS,Zebronics ZEB-SOUND BOMB 7 (White),White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
69,"Portronics Harmonics Z2 Wireless Bluetooth 5.2 Headset with Mic, ENC Noise Cancelling, Upto 30Hrs Playtime, Fast Charging Type C Neckband, Voice Assistant, & in-line Controls (Red)","₹1,999",769,Portronics,Harmonics Z2,Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
70,"ZEBRONICS Yoga N2 RGB in Ear Neckband with 30H Playtime, ENC Mic, Upto 50ms Gaming Mode, Powerful Bass, Voice Assistant, IPX4, Dual Pairing, BT v5.2, Type C Port, Wireless Earphones with Mic(Blue)","₹3,999",899,ZEBRONICS,ZEB-YOGA N2 (BLUE),Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
71,"boAt Rockerz 425 Bluetooth Wireless Over Ear Headphones with Mic with Signature Sound, Beast Mode(Upto 65Ms Low Latency) for Gaming Enx Tech, ASAP Charge 25H Playtime V5.2, Dual Pairing (Oceana Blue)","₹2,999","1,499",boAt,Rockerz 425,Oceana Blue,Over Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
72,"Jabra Elite 4 Active in-Ear Bluetooth Earbuds – True Wireless Earbuds with Secure Active Fit, 4 Built-in Microphones, Active Noise Cancellation and Adjustable HearThrough Technology – Navy",NaN,"15,980",Jabra,Elite 4 Active,Navy,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
73,"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Violet)",₹499,299,Portronics,Conch 50,Violet,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
74,"boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5 with Mic (Raging Red)","₹3,990","1,599",boAt,Rockerz 330,Raging Red,In Ear,Bluetooth 5.0,,,,,,,,,,,,,,,,,,,,,
75,"boAt Airdopes 141 Bluetooth Truly Wireless Earbuds with Upto 42H Playtime, Beast Mode Low Latency Upto 80ms for Gaming, ENx Tech, ASAP Charge, IWP, Smooth Touch Controls with Mic",NaN,,boAt,,Clear,"In Ear, On Ear",Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
76,"Portronics Conch 70 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack, 1.2M(White)",₹599,289,Portronics,Conch 70,White,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
77,"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hours of Playtime (Neon Black) & ColorFit Pulse Spo2 Smart Watch & IP68 Waterproof (Jet Black) & Pulse Go Buzz Smart Watch Bluetooth Calling (Black)",NaN,,Noise,,Neon Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
78,"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Yellow)",₹499,299,Portronics,Conch 50,Yellow,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
79,Jabra 40 Stereo Wired On Ear Headphones with mic Black,"₹19,500","10,500",Jabra,40 Stereo,Black,Over Ear,Wired,,,,,,,,,,,,,,,,,,,,,
80,boAt Rockerz 450 Bluetooth On Ear Headphones with Mic(Aqua Blue) & Airdopes 121v2 in-Ear True Wireless Earbuds(Midnight Blue) & Airdopes 121v2 in-Ear True Wireless Earbuds,NaN,"1,399",boAt,,Aqua Blue,On Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
81,"Meyaar DG-Beex Pack of 3 Headset with High Bass Headphones with Microphone, Earbuds Wired Stereo Earphones for All Smartphones (3 Black) (Set of 3 Black)",₹999,329,Meyaar,,Set of 3 Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
82,"pTron Bassbuds Perl in-Ear TWS Earbuds with TruTalk ENC, Bluetooth 5.3 Wireless Headphone with Mic, Deep Bass, Low Latency, HD Stereo Call, Pinch Control & Type-C Fast Charging (Black)","₹3,199","1,099",PTron,Bassbuds,Black,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
83,"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wireless in Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Black + Red)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (BLACK + RED),Black+Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
84,Jabra Engage 50 Wired Headset with Mic (Black),"₹25,771","23,967",Jabra,,Black,,Wired,,,WIRED,,,Headband,,,,,,,,,,,,,,,
85,boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband Active Black & Bassheads 242 in Ear Wired Earphones with Mic(Active Black) & Stone 135 Portable Wireless Speaker(Soldier Green),NaN,,boAt,,Active Black,,,,,,,,,W/o Smart On/Off + Neckband + Earphones,,,,,,,,,,,,,,
86,"Portronics Harmonics Twins 27 Smart TWS Earbuds with ANC+ENC Noise Cancelling, 35 Hrs Playtime, Voice Assistant, Dual Mic. Support, Feather Touch(White)","₹3,999","1,699",Portronics,Harmonics Twins 27,White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
87,(Renewed) Zebronics Zeb-Bang Bluetooth Headphone with Voice Assistant (Red),NaN,NaN,ZEBRONICS,,red,,Wireless,,,Bluetooth,,,"headband, collapsible",,,,,,,,,,,,,,,
88,"Meyaar SP Dual Driver Earphones,6D Sound High End Sport Earbuds Noise Isolating Deep Bass in Ear Earphones with Microphones Headphones with Volume Control (Metal Black)",₹999,249,Meyaar,,Metal Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
89,"Boult Audio Z15 with 32Hrs Playtime, Pro+Calling HD Mic, Type-C Lightning Boult Fast Charging (10mins=100Mins), BoomX Tech Rich Bass, Touch Controls, IPX5, Truly Wireless in Ear Earbuds TWS (Black)","₹2,999","1,199",Boult Audio,AirBass,Z15 Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
90,"boAt Immortal IM1000D Dual Channel Wired Over Ear Headphones with Mic, Gaming Headphones(White Sabre) & Flash Edition Smartwatch with Activity Tracker,Multiple Sports Modes(Moon Red)",NaN,,boAt,,White Sabre,,,Over Ear,,,,,,,USB,,,,,,,,,,,,,
91,"Boult Audio Airbass Fx1 Bluetooth Truly Wireless in Ear Earbuds with Mic with 32H Total Playtime, Type-C Fast Charging, Touch Controls, Ipx5 Sweatproof and Voice Assistant (White)","₹4,999","1,099",Boult Audio,AirBass,White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
92,Skullcandy Jib Wired in Ear Earbuds with Microphone- Cobalt Blue,"₹1,999",820,Skullcandy,Jib with Mic,Cobalt Blue,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
93,"pTron Tangent Duo Bluetooth 5.2 Wireless Earphones, 24Hrs Playback, 13mm Dynamic Driver, Deep Bass, HD Calls, Fast Charging Type-C Neckband, Voice Assistant & IPX4 Water Resistant (Black/Blue)","₹1,899",549,PTron,Tangent,Black/Blue,,,In Ear,,,,,,,Wireless,,,,,,,,,,,,,
