,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
382,"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Lightweight Wireless Headset, Soft Cushions Earpads, Fast Charging & Aux Port - (Black)","₹1,999",699,PTron,Studio,Black,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
383,"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones with mic, Crystal Bionic Sound Powered by Dirac Opteo, ASAP Charge, 24H Playback & ENx Tech(Gunmetal Black) & Call Smart Watch",NaN,,boAt,,Gunmetal Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
384,"Skullcandy Hesh Active Noise Cancellation Wireless Over-Ear Headphone with Up to 22 Hours of Battery, Rapid Charge (10 min = 3 hrs), Built-in Tile Finding Technology (Chill Grey)","₹19,999","10,599",Skullcandy,Hesh ANC,Chill Grey,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
385,"boAt Airdopes 191G Bluetooth Truly Wireless in Ear Earbuds with mic, ENx Tech Equipped Quad Mics, Beast Mode(Low Latency- 65ms) for Gaming, 2x6mm Dual Drivers, 30H Playtime, IPX5, IWP (Raging Red)","₹3,490","1,599",boAt,Airdopes 191G,Raging Red,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
386,ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Blue),"₹2,499","1,299",ZEBRONICS,Zeb-Duke,Blue,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
387,"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx Tech, Beast Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Bold Blue)","₹2,990","1,399",boAt,Airdopes 181,Bold Blue,In Ear,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,
388,"Jabra Elite 7 Pro in Ear Bluetooth True Wireless Earbuds + Wireless Charging Pad - Active Noise Cancellation, Compact Design, MultiSensor Voice Tech & Multipoint with mic - Titanium Black","₹20,999","15,069",Jabra,Elite 7 Pro,Titanium Black,,,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,
389,"Meyaar SPN UpBeat-1 Earbuds, Wired Headphones with Microphone and Ear Bud Tip Replacements, Universal 3.5 mm Plug for Most Smartphones, Tablets, Noise Isolating, Memory Foam Pads, Deep Bass (Brown)",₹349,129,Meyaar,Upbeat-1,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
390,(Renewed) ZEBRONICS Zeb Soundbomb S1 Pro Truly Wireless Bluetooth In Ear Earbuds with Mic (Black),NaN,,ZEBRONICS,,Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
391,"ZEBRONICS Jumbo LITE with 70 Hours Backup, Bluetooth v5.2 Wireless in Ear Neckband, Fast Charging, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof, and Type C (Grey)","₹2,999",999,ZEBRONICS,Zeb Yoga 7 (Jumbo Lite),Grey,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
