Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)",4999.0,1599.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth
"Portronics Harmonics 250 Fast Charging with 60Hrs Playtime Bluetooth Headset  (Black, In the Ear)",2999.0,1799.0,Portronics,Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In Ear,Bluetooth
"Portronics Harmonics Z2 - 30 Hours Playtime Wireless Neckband Bluetooth Headset  (Black, In the Ear)",1999.0,799.0,Portronics,Harmonics Z2 Wireless Stereo,Black,In Ear,Bluetooth
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1199.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,In Ear,Bluetooth
"PTron InTunes Beats Bluetooth Headset  (Black, In the Ear)",2499.0,1199.0,PTron,InTunes Beats,Black,In Ear,Bluetooth
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)",13999.0,6599.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth
"Wings Phantom 410 Wireless Earbuds with Digital Battery Indicator & 70 Hrs Playtime Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,999.0,Wings,Phantom 410,Black,In Ear,Bluetooth
"Wings Phantom 200 Wireless Earbuds, LED, 40ms Low Latency, DNS Mic Headphones Bluetooth Gaming Headset  (Orange, In the Ear)",2999.0,1199.0,Wings,Phantom 200,Orange,In Ear,Bluetooth
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (Black, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,Black,In Ear,Bluetooth
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Carbon Black, In the Ear)",2499.0,899.0,Noise,Nerve Neckband,Carbon Black,In Ear,Bluetooth
"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Sunset Grey, True Wireless)",2999.0,1299.0,Boult,Airbass Z35,Sunset Grey,In Ear,Bluetooth
"Portronics Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds Bluetooth Headset  (Black, True Wireless)",3999.0,1999.0,Portronics,Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,Black,In Ear,Bluetooth
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Viper Green,On Ear,Bluetooth
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Aqua Blue, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Aqua Blue,On Ear,Bluetooth
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)",2490.0,999.0,boAt,Rockerz 235 Pro,Ash Grey,In Ear,Bluetooth
"PTron Boom One Wired Headset  (Blue, In the Ear)",800.0,390.0,PTron,Boom One,Blue,In Ear,Wired
"Portronics Harmonics Twins 24 Bluetooth Headset  (White, True Wireless)",1999.0,1139.0,Portronics,Harmonics Twins 24,White,In Ear,Bluetooth
"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)",4999.0,1199.0,Boult,ProBass FCharge,Black,In Ear,Bluetooth
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Hazel Beige, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Hazel Beige,On Ear,Bluetooth
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)",4999.0,1499.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,In Ear,Bluetooth
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)",2699.0,983.0,PTron,InTunes Ultima,"Black, Blue",In Ear,Bluetooth
"Skullcandy Indy ANC Bluetooth Headset  (Chill Grey, True Wireless)",19999.0,9699.0,Skullcandy,Indy ANC,Chill Grey,In Ear,Bluetooth
"Skullcandy Push Active True Wireless Earbuds, Voice Control Bluetooth Headset  (Blue/Grey, True Wireless)",13999.0,6599.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth
"Portronics Harmonics Z1 Wireless Stereo Bluetooth Headset  (Green, In the Ear)",1999.0,999.0,Portronics,Harmonics Z1 Wireless Stereo,Green,In Ear,Bluetooth
"Skullcandy Cassette Wireless Bluetooth Headset  (Chill Gray, On the Ear)",3999.0,2699.0,Skullcandy,Cassette Wireless,Chill Gray,On Ear,Bluetooth
