product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
https://www.amazon.in/Skullcandy-Tropical-over-Ear-Wireless-Headphones/dp/B07CVHCRS3/ref=sr_1_21?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-21,Skullcandy Hesh3 Bluetooth Wireless Over Ear Headphones With Mic Multi-Colored,9999.0,5999.0,Skullcandy,Hesh3 BT,Psycho Tropical,Over Ear,Wireless
https://www.amazon.in/Skullcandy-Wireless-Earbuds-Resistant-Isolating/dp/B08XZFL7R2/ref=sr_1_32?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386860&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-32,"Skullcandy Dime Bluetooth Truly Wireless in Ear Earbuds with Mic with 12 Hours Total Battery, Ipx4 Sweat and Water Resistant, Secure Noise Isolating Fit (Golden Orange)",7499.0,2355.0,Skullcandy,Dime TWS,Golden Orange,In Ear,Wireless
https://www.amazon.in/boAt-Rockerz-450-Headphones-Integrated/dp/B0BLH26TK8/ref=sr_1_16?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-16,"boAt Rockerz 450 Wonder Woman Edition Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Amazonian Red)",3990.0,1157.0,boAt,Rockerz 450,Amazonian Red,On Ear,Bluetooth
https://www.amazon.in/JBL-Cancellation-Headphones-Playtime-Assistant/dp/B096FYLJ6M/ref=sr_1_20?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-20,"JBL Tune 760NC, Wireless Over Ear Active Noise Cancellation Headphones with Mic, up to 50 Hours Playtime, Pure Bass, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Black)",7999.0,4999.0,JBL,Tune,Black,Over Ear,Bluetooth 5.0
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDAwMDQ0MDM4MDg5NjE6MTY4NDM4Njg3MDpzcF9idGY6MjAwODM4OTYzMzg3OTg6OjA6Og&url=%2FBassbuds-Plus-Wireless-Stereo-Headphones%2Fdp%2FB08DB8Z972%2Fref%3Dsr_1_45_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386870%26refinements%3Dp_89%253APTron%26rnid%3D3837712031%26s%3Delectronics%26sprefix%3D%252Caps%252C1567%26sr%3D1-45-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"PTron Bassbuds Plus in Ear True Wireless Stereo Earbuds with Mic, Deep Bass Bluetooth Headphones, Voice Assistance, IPX4 Sweat & Water Resistant TWS, 12Hrs Battery & Fast Charge (Blue & Black)",2499.0,799.0,pTron,Bassbuds Plus,Blue & Black,In Ear,"Wireless, Bluetooth 5.0"
https://www.amazon.in/Meyaar-Headphone-Earphones-Microphone-Isolating/dp/B08957RTD3/ref=sr_1_13?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386807&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-13,"Meyaar SPN Headphone Heavy Bass Stereo Earphones Earbuds with Remote & Microphone, Laptops,Gaming Noise Isolating Tangle Free Headsets in Ear Headset (White)",999.0,108.0,Meyaar,SPN,Metal White,In Ear,Wired
https://www.amazon.in/Skullcandy-Truly-Wireless-Earbuds-Green/dp/B08X22G28L/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-77,"Skullcandy Dime True Wireless in-Ear Bluetooth Earbuds Compatible with iPhone and Android/Charging Case and Microphone/Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Dark Green",7499.0,2499.0,Skullcandy,Dime,Blue Green,In Ear,Wireless
https://www.amazon.in/Meyaar-Headphones-Microphone-Compatible-Smartphones/dp/B095XMYZHS/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386809&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-33,"Meyaar Beex Earbuds, Headphones with Microphone Pack of 3, Earbuds Wired, Stereo in-Ear Earphones, Compatible with Android Smartphones, MP3 Players, Fits 3.5mm Interface (3 Pack| 2 Black| 1 White)",1299.0,379.0,Meyaar,Meyaar,Black & White,In Ear,Wired
https://www.amazon.in/Rockerz-450-Masaba-Bluetooth-Headphone/dp/B08T5W1C5F/ref=sr_1_55?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386850&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-55,"boAt Rockerz 450 Masaba Edition Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions and Dual Modes Bluetooth Wireless On Ear Headphones with Mic and (Aztec Fusion)",3990.0,1330.0,boAt,Rockerz 450,Aztec Fusion,On Ear,Wireless
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0OTM4NTMwNjExMTk4OjE2ODQzODY4NDc6c3BfYnRmOjIwMTQ4NzkxOTM0OTk4OjowOjo&url=%2FRD-Bluetooth-Headphone-Four-Microphone-Surrounding%2Fdp%2FB09SFX5Z63%2Fref%3Dsr_1_49_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386847%26rnid%3D3837712031%26sprefix%3D%252Caps%252C1567%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,RD BH-205 Pure Bass Bluetooth 5.0 Wireless Over Ear Headphone | 20H Playtime | Four-Microphone System Isolates Voice from Surrounding | Light Weight | Controls on The Ear Cups | Black Color,999.0,499.0,RD,RD-OVR-205,Black,Over Ear,Wireless
https://www.amazon.in/Skullcandy-S5URHW-509-Wireless-Headphones-Black/dp/B00WGMRD2S/ref=sr_1_14?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-14,Skullcandy Uproar Wireless On-Ear Headphone with Mic (Black),4999.0,3599.0,Skullcandy,Uproar BT,Black,On Ear,Wireless
https://www.amazon.in/Boom-Ultima-Headphones-Cancelling-Earphones/dp/B08D75R3Z1/ref=sr_1_19?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-19,"PTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",1900.0,299.0,pTron,Boom Ultima,Dark Blue,nan,nan
https://www.amazon.in/Wings-Neckband-Bluetooth-Dedicated-Headphones/dp/B0B76QBL8K/ref=sr_1_4?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386854&refinements=p_89%3AWings&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-4,"Wings Phantom 110 Neckband with ENC Mic,Dual Pairing, 20 hrs Playtime, Bluetooth 5.3,Dedicated Bass Boost Mode and Gaming Mode with 50ms Ultra Low Latency Headphones (Orange)",1990.0,872.0,Wings,WL-PHANTOM110-ORG,Orange,nan,nan
https://www.amazon.in/ZEBRONICS-Black-30-Bluetooth-Microphone/dp/B0BS6CRKC8/ref=sr_1_74?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-74,"ZEBRONICS DC Black ADAM Edition Buds 30 3.5mm Stereo Bluetooth in Ear Earphone with Inline Microphone for Calling, Volume Control, 14mm Drivers, Stylish eartip Design and 1.2 Meter Durable Cable",599.0,242.0,ZEBRONICS,ZEB BUDS 30 - Black Adam,Black Adam,In Ear,Wired
https://www.amazon.in/SH-12-Wireless-Universal-Bluetooth-Headphone/dp/B08PT9PPZ2/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386850&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-52,SH-12 Wireless Bluetooth Over the Ear Headphone with Mic (Black),799.0,473.0,Generic,Sh12,Black,Over Ear,Wireless
https://www.amazon.in/Bassbuds-Wireless-Earbuds-Charging-Playtime/dp/B0B4G6DHSH/ref=sr_1_28?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386870&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-28,"pTron Bassbuds Revv Wireless in Ear Earbuds with Mic, ENC Calling, 50ms Low Latency, 13mm Driver, Punchy Bass, BT5.3 Headphones, Touch Control, Type-C Fast Charging, 28Hrs Playtime & IPX4 (Black)",4599.0,799.0,pTron,Bassbuds Revv,Black,In Ear,Wireless
https://www.amazon.in/ZEBRONICS-Bluetooth-Assistant-Transparent-Rechargeable/dp/B0BYJSD8FQ/ref=sr_1_38?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386799&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-38,"ZEBRONICS PODS 2 Wireless TWS Earbuds with Bluetooth 5.3, LED Display, Voice Assistant, Call Function, Transparent Charging case, Touch Control & Built-in Rechargeable Battery - Black",2199.0,699.0,ZEBRONICS,ZEB-PODS 2 - BLACK,Black,In Ear,Wireless
