product_link,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included,Type
https://www.flipkart.com/ptron-basspods-glamor-bluetooth-headset/p/itmc601a7fa7ce28?pid=ACCGMFNWEYYBQYHB&lid=LSTACCGMFNWEYYBQYHBTSWXOS&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_23&otracker=search&otracker1=search&iid=4eb3528d-b3ef-42dc-b62b-b07ce3beeaa8.ACCGMFNWEYYBQYHB.SEARCH&ssid=jwmmfl1nps0000001684390059829&qH=e9698ba16f3a3269,"PTron Basspods Glamor Bluetooth Headset  (Grey & Black, True Wireless)","₹3,199",₹999,Basspods Glamor,Grey & Black,True Wireless,Yes,"1 Pair of Earbuds with Charging Case, 2 Pair of Eartips, Charging Cable, User Manual",Bluetooth,Earbud,,
https://www.flipkart.com/sony-wh-xb910n-30hrs-battery-life-active-noise-cancellation-enabled-bluetooth-headset/p/itm668d0bbb72e6b?pid=ACCGBHRANHMKRMDP&lid=LSTACCGBHRANHMKRMDPVSEZMG&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_38&otracker=search&otracker1=search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCGBHRANHMKRMDP.SEARCH&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,"SONY WH-XB910N with 30Hrs Battery Life, Active Noise Cancellation enabled Bluetooth Headset  (Blue, On the Ear)","₹19,990","₹13,990",WH-XB910N,Blue,On the Ear,Yes,"1 Headphone, Operating Instruction, Instruction Manual, USB Cable, Carrying Case",Bluetooth,Over the Head,,
https://www.flipkart.com/sony-ex255ap-wired-headset/p/itm4dcc05601da20?pid=ACCEVAEWWYUHEJHT&lid=LSTACCEVAEWWYUHEJHTYVAY1Y&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_10&otracker=search&otracker1=search&fm=Search&iid=487c6faf-4521-4fcd-9385-19732a94e7ad.ACCEVAEWWYUHEJHT.SEARCH&ppt=sp&ppn=sp&ssid=7shilhzig00000001684389994966&qH=e9698ba16f3a3269,"SONY EX255AP Wired Headset  (Black, In the Ear)","₹1,990","₹1,699",MDR-EX255AP,Black,In the Ear,Yes,"Operating Instructions, Silicon Earbuds, Reference Guide, 1 Headset, Wire Manager",Wired,,,
https://www.flipkart.com/zebronics-zeb-bro-wired-headset/p/itm2b73eab620b2c?pid=ACCFHECY3ZNGWSRH&lid=LSTACCFHECY3ZNGWSRH4XRXCN&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_2&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCFHECY3ZNGWSRH.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,"ZEBRONICS ZEB-BRO Wired Headset  (Black, In the Ear)",₹349,₹325,ZEB-BRO,Black,In the Ear,Yes,1 X WIRED HEADPHONE,Wired,,,
https://www.flipkart.com/ptron-basspods-p81-tws-earbuds-32h-playtime-deep-bass-stereo-calls-bt5-1-type-c-bluetooth-headset/p/itm9c177b96b3499?pid=ACCGHBPZHWUTGAGS&lid=LSTACCGHBPZHWUTGAGSNNEBS8&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_11&otracker=search&otracker1=search&iid=4eb3528d-b3ef-42dc-b62b-b07ce3beeaa8.ACCGHBPZHWUTGAGS.SEARCH&ssid=jwmmfl1nps0000001684390059829&qH=e9698ba16f3a3269,"PTron Basspods P81 TWS Earbuds, 32H Playtime, Deep Bass, Stereo Calls, BT5.1, Type-C Bluetooth Headset  (Blue, In the Ear)","₹2,599",₹799,Basspods P81,Blue,In the Ear,Yes,"1 Pair of Earbuds with Charging Case, Charging Cable, User Guide Card, 2 Pairs Extra Eartips",Bluetooth,Earbud,,
https://www.flipkart.com/meyaar-sunshine-series-2-pack-clear-sound-earphones-mic-wired-headset/p/itm1b576b08dedc5?pid=ACCG4YEZFG8DQQWW&lid=LSTACCG4YEZFG8DQQWWQ7SLFT&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_1&otracker=search&otracker1=search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCG4YEZFG8DQQWW.SEARCH&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Sunshine Series 2 Pack With Clear Sound Earphones With Mic Wired Headset  (2 Pack Black & White Crystal Clear Sound, SPN Headphones, Mar-vel Earbuds, Pack of 2 Headset, In the Ear)",₹999,₹279,Sunshine Series 2 Pack With Clear Sound Earphones With Mic,"2 Pack Black & White Crystal Clear Sound, SPN Headphones, Mar-vel Earbuds, Pack of 2 Headset",In the Ear,Yes,1 in-Ear Headphone,Wired,Earbud,,
https://www.flipkart.com/zebronics-zeb-buds-30-dc-joker-3-5mm-stereo-earphone-inline-microphone-wired-headset/p/itm79007e7935ff0?pid=ACCGN5CPGY6BFF4U&lid=LSTACCGN5CPGY6BFF4UJFKHPW&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_20&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCGN5CPGY6BFF4U.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,"ZEBRONICS Zeb BUDS 30 DC JOKER edition , 3.5mm stereo earphone with inline microphone Wired Headset  (Joker, In the Ear)",₹599,₹582,"Zeb BUDS 30 DC JOKER edition , 3.5mm stereo earphone with inline microphone",Joker,In the Ear,No,Wired earphone - 1 Unit,Wired,,,
https://www.flipkart.com/meyaar-pack-2-spn-headset-ultra-high-bass-earphones-mic-wired/p/itmeb08795186bbf?pid=ACCG2G8YJBAUGSPS&lid=LSTACCG2G8YJBAUGSPS8MQRZK&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_2_8&otracker=search&otracker1=search&fm=Search&iid=ae922a5e-6988-4324-8eba-7fb2b24cddff.ACCG2G8YJBAUGSPS.SEARCH&ppt=sp&ppn=sp&ssid=pg9bvgz0ow0000001684389998379&qH=e9698ba16f3a3269,"Meyaar Pack of 2 SPN Headset Ultra HIgh Bass Earphones With Mic Wired Headset  (Black, In the Ear)",₹899,₹353,Pack of 2 SPN Headset Ultra HIgh Bass Earphones With Mic,Black,In the Ear,Yes,2 Headphone,Wired,Earbud,,
https://www.flipkart.com/boat-rockerz-333-pro-60-hours-battery-bluetooth-headset/p/itm02f3d75a8144e?pid=ACCG8MXCRWZUEZH9&lid=LSTACCG8MXCRWZUEZH9OWOH7K&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_32&otracker=search&otracker1=search&iid=en_fhLeiIhvMktXQdjnUHoSFxBS78Bn1T9HNR6R%2FQzE9GITi6GYHpk64ZFPvDIdgIeNz%2Flpz8yQPw9ixpKmzmdGiw%3D%3D&ssid=re6hens5wg0000001684389993092&qH=e9698ba16f3a3269,"boAt Rockerz 333 Pro with 60 Hours Battery Bluetooth Headset  (Navy Blue, In the Ear)","₹2,990","₹1,799",Rockerz 333 Pro with 60 Hours Battery,Navy Blue,In the Ear,Yes,"1 Headphone, Additional Eartips, Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,,
https://www.flipkart.com/zebronics-zeb-calyx-wired-headset/p/itm8aa38d5a60e56?pid=ACCFKTFQ6ZPYPBCZ&lid=LSTACCFKTFQ6ZPYPBCZDA4W6S&marketplace=FLIPKART&q=headphones+boat&store=0pm%2Ffcn&srno=s_1_25&otracker=search&otracker1=search&iid=c4b2f014-7a4d-4694-b934-abdb17c9d797.ACCFKTFQ6ZPYPBCZ.SEARCH&ssid=ofoxn8uy8w0000001684389996846&qH=e9698ba16f3a3269,"ZEBRONICS Zeb-Calyx Wired Headset  (Black, In the Ear)",₹399,₹298,Zeb-Calyx,Black,In the Ear,Yes,"1 unit earphone, 1 pair buds",Wired,Earbud,Additional Earmuffs/Eartips,
