product_key,product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
10,https://www.amazon.in/ZEBRONICS-Yoga-N3-Bluetooth-Assistant/dp/B0BGRSFFWX/ref=sr_1_78?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-78,zebronic yoga n3 with 46 hour backup bluetooth v52 wireless neckband enc call gaming mode upto 50ms voice assistant dual pairing splash proof and type c black,3499.0,999.0,zebronic,zeb yoga n3 black,black,in ear,wireless
11,https://www.amazon.in/Zebronics-Playback-Assistant-Bluetooth-Sunset/dp/B0B2S1K4J7/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-52,zebronic jumbo with 160 h playback enc gaming mode up to 50ms fast charge 10min 15h 1000mah builtin battery dual pair voice asst bt v52 bluetooth wireless in ear neckbandsunset,4199.0,1499.0,zebronic,zebyoga 1 sunset,sunset,in ear,bluetooth 52
12,https://www.amazon.in/Skullcandy-Wireless-Resistant-Microphone-Assistant/dp/B08JCY3RZK/ref=sr_1_79?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-79,skullcandy speak truly wireless bluetooth in ear earbud with mic black,7999.0,2799.0,skullcandy,speak earbud,black,in ear,bluetooth
13,https://www.amazon.in/Zebronics-Bluetooth-Playtime-Assistant-Black/dp/B09Z7X33H1/ref=sr_1_53?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-53,zebronic sound bomb 7 bluetooth tws in ear earbud with 40h playtime enc mic rapid charge upto 50ms gaming mode flash connect voice assistant smooth touch control bt v52 type c black,4299.0,999.0,zebronic,zebsound bomb 7 black,black,in ear,bluetooth 52
14,https://www.amazon.in/Tangent-Bluetooth-Earphones-Assistant-Resistant/dp/B0BSFNBBHL/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-77,ptron tangent duo bluetooth 52 wireless in ear earphone with mic 24hrs playback 13 mm driver deep bass fast charge typec neckband dual pair voice assistant ipx4 water resistant black,1899.0,549.0,ptron,tangent,black,nan,nan
15,https://www.amazon.in/Meyaar-Earphones-Headphones-Microphone-Isolating/dp/B08CG23HDD/ref=sr_1_26?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386809&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-26,meyaar rplus 2208 edition deep bass wire durable metal earphone headphone with microphone in ear earbuds noise isolate earphone remote mic headset stereo headphone for android io white,799.0,99.0,meyaar,r plus 2208,white,in ear,wire usb
16,https://www.amazon.in/Meyaar-Samsung-Earphone-Android-Mobiles/dp/B0843B9TSS/ref=sr_1_14?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386807&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-14,meyaar ys make in india earphone with high bass headphone for android io mobile with 35 mm jack compatibility wire headset with mic black,999.0,119.0,meyaar,ys,black,in ear,wire usb
17,https://www.amazon.in/Meyaar-ML-63-Braided-Universal-Earphones/dp/B07X6JYHV5/ref=sr_1_56?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386811&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-56,meyaar spn make in india headphone with hd sound headset with inline mic 35 mm jack wire universal earphone with free multifunctional stylus pen black,999.0,279.0,meyaar,ml 63,metal black,in ear,wire usb
18,https://www.amazon.in/Skullcandy-S5PXY-L636-Headphone-Speckle-Sunset/dp/B07HB8V9LQ/ref=sr_1_10?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-10,skullcandy riff wire on ear headphone with mic blue,3999.0,2099.0,skullcandy,riff wire,blue,on ear,wire
19,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_6?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-6,boat airdope 141 bluetooth truly wireless in ear headphone with 42h playtime beast modelow latency upto 80ms for game enx tech iwp ipx4 water resistance smooth touch controlscyan cider,4490.0,1399.0,boat,airdopes 141,cider cyan,in ear,bluetooth 51
20,https://www.amazon.in/Skullcandy-Tropical-over-Ear-Wireless-Headphones/dp/B07CVHCRS3/ref=sr_1_21?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-21,skullcandy hesh3 bluetooth wireless over ear headphone with mic multicolore,9999.0,5999.0,skullcandy,hesh3 bt,psycho tropical,over ear,wireless
21,https://www.amazon.in/Skullcandy-Wireless-Earbuds-Resistant-Isolating/dp/B08XZFL7R2/ref=sr_1_32?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386860&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-32,skullcandy dime bluetooth truly wireless in ear earbud with mic with 12 hour total battery ipx4 sweat and water resistant secure noise isolate fit golden orange,7499.0,2355.0,skullcandy,dime tws,golden orange,in ear,wireless
22,https://www.amazon.in/boAt-Rockerz-450-Headphones-Integrated/dp/B0BLH26TK8/ref=sr_1_16?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-16,boat rockerz 450 wonder woman edition bluetooth on ear headphone with mic upto 15 hour playback 40 mm driver pad ear cushion integrated control and dual modesamazonian red,3990.0,1157.0,boat,rockerz 450,amazonian red,on ear,bluetooth
23,https://www.amazon.in/JBL-Cancellation-Headphones-Playtime-Assistant/dp/B096FYLJ6M/ref=sr_1_20?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-20,jbl tune 760nc wireless over ear active noise cancellation headphone with mic up to 50 hour playtime pure bass dual pairing aux voice assistant support for mobile phone black,7999.0,4999.0,jbl,tune,black,over ear,bluetooth 50
24,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDAwMDQ0MDM4MDg5NjE6MTY4NDM4Njg3MDpzcF9idGY6MjAwODM4OTYzMzg3OTg6OjA6Og&url=%2FBassbuds-Plus-Wireless-Stereo-Headphones%2Fdp%2FB08DB8Z972%2Fref%3Dsr_1_45_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386870%26refinements%3Dp_89%253APTron%26rnid%3D3837712031%26s%3Delectronics%26sprefix%3D%252Caps%252C1567%26sr%3D1-45-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,ptron bassbud plus in ear true wireless stereo earbud with mic deep bass bluetooth headphone voice assistance ipx4 sweat water resistant tws 12hrs battery fast charge blue black,2499.0,799.0,ptron,bassbud plus,blue black,in ear,wireless bluetooth 50
25,https://www.amazon.in/Meyaar-Headphone-Earphones-Microphone-Isolating/dp/B08957RTD3/ref=sr_1_13?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386807&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-13,meyaar spn headphone heavy bass stereo earphones earbud with remote microphone laptopsgame noise isolate tangle free headset in ear headset white,999.0,108.0,meyaar,spn,metal white,in ear,wire
26,https://www.amazon.in/Skullcandy-Truly-Wireless-Earbuds-Green/dp/B08X22G28L/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-77,skullcandy dime true wireless inear bluetooth earbud compatible with iphone and androidcharging case and microphonegreat for gym sport and gaming ipx4 water dust resistant dark green,7499.0,2499.0,skullcandy,dime,blue green,in ear,wireless
27,https://www.amazon.in/Meyaar-Headphones-Microphone-Compatible-Smartphones/dp/B095XMYZHS/ref=sr_1_33?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386809&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-33,meyaar beex earbud headphone with microphone pack of 3 earbud wire stereo inear earphone compatible with android smartphone mp3 player fit 35 mm interface 3 pack 2 black 1 white,1299.0,379.0,meyaar,meyaar,black white,in ear,wire
28,https://www.amazon.in/Rockerz-450-Masaba-Bluetooth-Headphone/dp/B08T5W1C5F/ref=sr_1_55?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386850&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-55,boat rockerz 450 masaba edition upto 15 hour playback 40 mm driver pad ear cushion and dual mode bluetooth wireless on ear headphone with mic and aztec fusion,3990.0,1330.0,boat,rockerz 450,aztec fusion,on ear,wireless
29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0OTM4NTMwNjExMTk4OjE2ODQzODY4NDc6c3BfYnRmOjIwMTQ4NzkxOTM0OTk4OjowOjo&url=%2FRD-Bluetooth-Headphone-Four-Microphone-Surrounding%2Fdp%2FB09SFX5Z63%2Fref%3Dsr_1_49_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386847%26rnid%3D3837712031%26sprefix%3D%252Caps%252C1567%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,rd bh205 pure bass bluetooth 50 wireless over ear headphone 20h playtime fourmicrophone system isolate voice from surround light weight control on the ear cup black color,999.0,499.0,rd,rdovr205,black,over ear,wireless
30,https://www.amazon.in/Skullcandy-S5URHW-509-Wireless-Headphones-Black/dp/B00WGMRD2S/ref=sr_1_14?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-14,skullcandy uproar wireless onear headphone with mic black,4999.0,3599.0,skullcandy,uproar bt,black,on ear,wireless
31,https://www.amazon.in/Boom-Ultima-Headphones-Cancelling-Earphones/dp/B08D75R3Z1/ref=sr_1_19?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-19,ptron boom ultima 4d dual driver inear game wire headphone with inline mic volume control passive noise cancel boom 3 earphone dark blue,1900.0,299.0,ptron,boom ultima,dark blue,nan,nan
